,id,country,country-alpha_3,city,longitude,latitude,cohort,role
65,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,3,mentor
66,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,3,speaker
67,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,5,speaker
68,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,6,participant
69,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,expert
70,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,expert
71,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,speaker
72,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,3,expert
73,angelicamaineri,Netherlands,NLD,,,,7,participant
74,anita-broellochs,United States,USA,,,,1,speaker
75,anita-broellochs,United States,USA,,,,2,expert
76,anita-broellochs,United States,USA,,,,2,mentor
77,anjali-mazumder,United Kingdom,GBR,,,,2,mentor
78,annakrystalli,United Kingdom,GBR,Sheffield,-1.4702278,53.3806626,1,expert
79,annakrystalli,United Kingdom,GBR,Sheffield,-1.4702278,53.3806626,3,expert
80,annakrystalli,United Kingdom,GBR,Sheffield,-1.4702278,53.3806626,3,mentor
81,annalee-sekulic,United States,USA,Columbus,-83.0007065,39.9622601,3,participant
82,annambiller,Germany,DEU,Munich,11.5753822,48.1371079,7,participant
83,anneclinio,Brazil,BRA,,,,1,expert
84,annefou,Norway,NOR,Oslo,10.7389701,59.9133301,4,expert
85,annefou,Norway,NOR,Oslo,10.7389701,59.9133301,4,mentor
86,annefou,Norway,NOR,Oslo,10.7389701,59.9133301,5,mentor
87,annemtreasure,South Africa,ZAF,Cape Town,18.417396,-33.928992,5,expert
88,annemtreasure,South Africa,ZAF,Cape Town,18.417396,-33.928992,5,mentor
89,annemtreasure,South Africa,ZAF,Cape Town,18.417396,-33.928992,6,mentor
90,anproulx,Canada,CAN,,,,2,participant
91,anshika-sah,India,IND,New Delhi,77.2090057,28.6138954,3,participant
92,antonioggsousa,Portugal,PRT,Oeiras,-9.271300382407272,38.7124971,3,participant
93,arentkievits,Netherlands,NLD,Delft,4.362724538543995,51.999457199999995,4,participant
94,ariana-bethany-subroyen,,,,,,6,participant
95,arianna-cortesi,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,7,participant
96,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,2,expert
97,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,2,mentor
98,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,3,expert
99,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,4,expert
100,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,4,mentor
101,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,5,mentor
102,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,6,expert
103,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,6,mentor
104,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,7,mentor
105,arvinpreet-kaur,India,IND,,,,3,participant
106,ashutosh-tiwari,India,IND,"Bilaspur, Chhattisgarh",82.10996498737376,21.98934025,3,participant
107,astroakanksha24,India,IND,,,,5,participant
108,augustincaitlin,United States,USA,Orlando,-81.3790304,28.5421109,4,participant
109,aurigandrea,,,,,,5,participant
110,ayeshadunk,United Kingdom,GBR,London,-0.12765,51.5073359,5,participant
111,b14-rsa,South Africa,ZAF,Johannesburg,28.049722,-26.205,5,participant
112,babari-a-babari-michelle-freddia,Cameroon,CMR,Yaoundé,11.5213344,3.8689867,7,participant
113,babasaraki,Nigeria,NGA,Bauchi,10.0287754,10.6228284,2,speaker
114,babasaraki,Nigeria,NGA,Bauchi,10.0287754,10.6228284,5,participant
115,babasaraki,Nigeria,NGA,Bauchi,10.0287754,10.6228284,6,participant
116,bailey-harrington,United States,USA,,,,2,participant
117,bakary-n'tji diallo,Mali,MLI,,,,2,participant
118,banshee1221,South Africa,ZAF,,,,2,participant
119,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,3,participant
120,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,4,facilitator
121,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,4,participant
122,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,4,speaker
123,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,5,facilitator
124,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,5,mentor
125,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,6,expert
126,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,6,facilitator
127,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,6,mentor
128,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,1,speaker
129,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,2,expert
130,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,3,expert
131,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,3,mentor
132,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,4,expert
133,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,4,mentor
134,beapdk,Canada,CAN,,,,2,participant
135,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,2,participant
136,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,3,expert
137,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,5,mentor
138,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,7,participant
139,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,1,organizer
140,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,1,speaker
141,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,2,expert
142,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,2,organizer
143,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,2,speaker
144,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,expert
145,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,organizer
146,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
147,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
148,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
149,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
150,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,speaker
151,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,expert
152,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,organizer
153,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,mentor
154,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,speaker
155,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,5,organizer
156,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,6,organizer
157,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,7,organizer
158,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,7,speaker
159,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,7,speaker
160,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,7,speaker
161,benkrikler,United Kingdom,GBR,,,,2,speaker
162,bethaniley,United Kingdom,GBR,Belfast,-5.9301829,54.596391,6,speaker
163,bgruening,Germany,DEU,,,,1,expert
164,bgruening,Germany,DEU,,,,1,mentor
165,bgruening,Germany,DEU,,,,2,expert
166,bhuvanameenakshik,India,IND,,,,1,expert
167,billbrod,United States,USA,,,,1,participant
168,billbrod,United States,USA,,,,7,mentor
169,birgül-çolak-al,Turkey,TUR,Istanbul,28.9662187,41.0091982,5,participant
170,biscuitnapper,,,,,,4,participant
171,bisola15,Nigeria,NGA,Yaba,-2.8848131505798653,12.811960299999999,7,participant
172,boi-kone,Mali,MLI,,,,2,participant
173,bonetcarne,Spain,ESP,,,,1,participant
174,booktrackergirl,United Kingdom,GBR,Exeter,-3.5269497,50.7255794,7,participant
175,brainonsilicon,United Kingdom,GBR,,,,2,participant
176,brainonsilicon,United Kingdom,GBR,,,,6,participant
177,bresearcher101,,,,,,6,participant
178,bresearcher101,,,,,,7,mentor
179,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,1,participant
180,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,2,mentor
181,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,3,mentor
182,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,4,expert
183,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,4,mentor
184,bsolodzi,Ghana,GHA,"Ashaiman, Zenu",-0.0499836,5.7121199,7,participant
185,burceelbasan,Germany,DEU,,,,4,participant
186,burceelbasan,Germany,DEU,,,,5,mentor
187,burkemlou,Australia,AUS,Brisbane,153.0234991,-27.4689682,2,expert
188,burkemlou,Australia,AUS,Brisbane,153.0234991,-27.4689682,2,speaker
189,burkemlou,Australia,AUS,Brisbane,153.0234991,-27.4689682,3,expert
190,burkemlou,Australia,AUS,Brisbane,153.0234991,-27.4689682,3,mentor
191,c-martinez,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,3,expert
192,c-martinez,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,3,speaker
193,callummole,United Kingdom,GBR,London,-0.12765,51.5073359,4,participant
194,callummole,United Kingdom,GBR,London,-0.12765,51.5073359,5,participant
195,camachoreina,France,FRA,Paris,2.3483915,48.8534951,3,participant
196,camachoreina,France,FRA,Paris,2.3483915,48.8534951,4,expert
197,camila-gómez,Bolivia,,Cochabamba,-66.16756808852,-17.401245799999998,5,participant
198,carmel-carne,South Africa,ZAF,Cape Town,18.417396,-33.928992,7,participant
199,carol-o'brien,Denmark,DNK,,,,7,participant
200,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,1,participant
201,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,2,expert
202,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,2,speaker
203,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,5,expert
204,cassmurph,Ireland,IRL,,,,6,participant
205,cassmurph,Ireland,IRL,,,,7,facilitator
206,cbolibaugh,United Kingdom,GBR,York,-1.0815361,53.9590555,4,participant
207,cel31,Spain,ESP,Barcelona,2.1774322,41.3828939,5,participant
208,cemonks,Australia,AUS,Perth,115.8605801,-31.9558964,3,participant
209,cemonks,Australia,AUS,Perth,115.8605801,-31.9558964,4,mentor
210,cgentemann,United States,USA,Santa Rosa,-122.7141049,38.4404925,6,expert
211,chadsansing,United States,USA,,,,4,speaker
212,chadsansing,United States,USA,,,,5,speaker
213,chadsansing,United States,USA,,,,6,speaker
214,chiara-damiani,,,,,,3,participant
215,chiarabertipaglia,United States,USA,,,,1,participant
216,chiarabertipaglia,United States,USA,,,,2,expert
217,christina-ambrosi,Switzerland,CHE,,,,2,participant
218,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,1,participant
219,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,2,expert
220,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,2,speaker
221,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,3,expert
222,chucklesongithub,Argentina,ARG,Buenos Aires,-58.4370894,-34.6075682,4,participant
223,chukaogbo,Nigeria,NGA,"Abeokuta, Ogun State.",3.3450438,7.139576,7,participant
224,cl379,Spain,ESP,Barcelona,2.1774322,41.3828939,3,participant
225,cl379,Spain,ESP,Barcelona,2.1774322,41.3828939,5,participant
226,claudia-mignone,Italy,ITA,Roma,12.4829321,41.8933203,7,participant
227,codito22,Peru,PER,Lima,-77.0365256,-12.0621065,5,participant
228,complexbrains,Canada,CAN,Montreal,-73.5698065,45.5031824,5,participant
229,complexbrains,Canada,CAN,Montreal,-73.5698065,45.5031824,6,facilitator
230,complexbrains,Canada,CAN,Montreal,-73.5698065,45.5031824,7,mentor
231,contraexemplo,Brazil,BRA,,,,6,speaker
232,coopersmout,Australia,AUS,Brisbane,153.0234991,-27.4689682,2,participant
233,coopersmout,Australia,AUS,Brisbane,153.0234991,-27.4689682,4,expert
234,crangelsmith,United Kingdom,GBR,,,,2,participant
235,da5nsy,United States,USA,Washington Dc,-77.0365427,38.8950368,2,participant
236,da5nsy,United States,USA,Washington Dc,-77.0365427,38.8950368,3,expert
237,da5nsy,United States,USA,Washington Dc,-77.0365427,38.8950368,4,facilitator
238,dadditolu,United Kingdom,GBR,Glasgow,-4.2497933,55.8606182,3,participant
239,dadditolu,United Kingdom,GBR,Glasgow,-4.2497933,55.8606182,6,mentor
240,danae-carelis-davila-espinoza,Bolivia,,,,,5,participant
241,daniel-kochin,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,7,participant
242,dannycolin,Canada,CAN,,,,1,participant
243,danwchan,,,New York City,-74.0060152,40.7127281,7,participant
244,darwin-diaz,Peru,PER,Lima,-77.0365256,-12.0621065,5,participant
245,dasaderi,United States,USA,,,,1,expert
246,dasaderi,United States,USA,,,,1,mentor
247,dasaderi,United States,USA,,,,2,expert
248,dasaptaerwin,India,IND,,,,6,speaker
249,david-selassie-opoku,Germany,DEU,Berlin,13.3888599,52.5170365,4,expert
250,davidbeavan,United Kingdom,GBR,,,,2,participant
251,davidviryachen,Japan,JPN,,,,1,participant
252,deepakunni3,Switzerland,CHE,Basel,7.5878261,47.5581077,5,expert
253,deepakunni3,Switzerland,CHE,Basel,7.5878261,47.5581077,5,mentor
254,deepakunni3,Switzerland,CHE,Basel,7.5878261,47.5581077,6,expert
255,delphine-l,United States,USA,Raleigh,-78.6390989,35.7803977,2,mentor
256,delphine-l,United States,USA,Raleigh,-78.6390989,35.7803977,4,expert
257,delphine-l,United States,USA,Raleigh,-78.6390989,35.7803977,4,mentor
258,demellina,United Kingdom,GBR,London,-0.12765,51.5073359,1,expert
259,demellina,United Kingdom,GBR,London,-0.12765,51.5073359,1,speaker
260,demellina,United Kingdom,GBR,London,-0.12765,51.5073359,2,expert
261,demellina,United Kingdom,GBR,London,-0.12765,51.5073359,3,expert
262,diana-pilvar,Estonia,EST,Tartu,26.72245,58.3801207,7,participant
263,didik-utomo,Indonesia,IDN,Malang,112.6340291,-7.9771206,3,participant
264,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.4370894,-34.6075682,4,participant
265,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.4370894,-34.6075682,5,mentor
266,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.4370894,-34.6075682,6,mentor
267,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.4370894,-34.6075682,7,mentor
268,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,3,mentor
269,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,4,expert
270,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,4,mentor
271,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,6,expert
272,dingaaling,United Kingdom,GBR,London,-0.12765,51.5073359,6,participant
273,dlebauer,United States,USA,,,,1,participant
274,doaamkader,Egypt,EGY,Obour City,31.481586781267453,30.162908350000002,7,participant
275,dsarahstamps,United States,USA,,,,5,speaker
276,dudova,Czechia,CZE,Brno,16.6113382,49.1922443,3,participant
277,duerrsimon,Switzerland,CHE,Lausanne,6.6327025,46.5218269,3,participant
278,duerrsimon,Switzerland,CHE,Lausanne,6.6327025,46.5218269,4,expert
279,dylan-bastiaans,Switzerland,CHE,,,,2,participant
280,ealescak,United States,USA,Anchorage,-149.894852,61.2163129,3,expert
281,ealescak,United States,USA,Anchorage,-149.894852,61.2163129,3,mentor
282,ealescak,United States,USA,Anchorage,-149.894852,61.2163129,4,expert
283,ealescak,United States,USA,Anchorage,-149.894852,61.2163129,4,mentor
284,ecsalomon,United States,USA,"Chicago, Il",-87.6244212,41.8755616,4,participant
285,eirini-zormpa,United Kingdom,GBR,,,,6,participant
286,eirinibotsari,Netherlands,NLD,Dem Haag,4.3113461,52.0799838,5,participant
287,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,2,participant
288,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,3,expert
289,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,3,mentor
290,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,4,expert
291,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,4,facilitator
292,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,4,mentor
293,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,4,speaker
294,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,5,mentor
295,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,5,participant
296,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,6,expert
297,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,6,mentor
298,ekeluv,South Africa,ZAF,,,,2,participant
299,ekin-bolukbasi,United Kingdom,GBR,London,-0.12765,51.5073359,2,speaker
300,elena-giglia,Italy,ITA,Turin,7.6824892,45.0677551,6,participant
301,elisa-on-github,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,4,participant
302,elisa-on-github,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,6,expert
303,elsasci,United Kingdom,GBR,,,,1,participant
304,emma-anne-harris,Germany,DEU,Berlin,13.3888599,52.5170365,3,expert
305,emma-anne-harris,Germany,DEU,Berlin,13.3888599,52.5170365,3,speaker
306,emma-lawrence,United Kingdom,GBR,London,-0.12765,51.5073359,3,participant
307,emma-lawrence,United Kingdom,GBR,London,-0.12765,51.5073359,4,expert
308,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,4,participant
309,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,5,participant
310,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,6,participant
311,emmyft,Netherlands,NLD,,,,1,expert
312,emmyft,Netherlands,NLD,,,,2,expert
313,emmyft,Netherlands,NLD,,,,3,organizer
314,emmyft,Netherlands,NLD,,,,3,speaker
315,emmyft,Netherlands,NLD,,,,3,speaker
316,emmyft,Netherlands,NLD,,,,3,speaker
317,emmyft,Netherlands,NLD,,,,4,organizer
318,emmyft,Netherlands,NLD,,,,4,mentor
319,emmyft,Netherlands,NLD,,,,4,speaker
320,emmyft,Netherlands,NLD,,,,4,speaker
321,emmyft,Netherlands,NLD,,,,5,organizer
322,emmyft,Netherlands,NLD,,,,5,mentor
323,emmyft,Netherlands,NLD,,,,5,speaker
324,emmyft,Netherlands,NLD,,,,6,organizer
325,emmyft,Netherlands,NLD,,,,7,organizer
326,emmyft,Netherlands,NLD,,,,7,speaker
327,esbusis,Turkey,TUR,Istanbul,28.9662187,41.0091982,5,participant
328,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,3,expert
329,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,3,mentor
330,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,3,speaker
331,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,4,expert
332,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,4,mentor
333,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,4,mentor
334,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,5,mentor
335,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,6,expert
336,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,6,mentor
337,evaherbst,Switzerland,CHE,,,,2,participant
338,evelyngreeves,United Kingdom,GBR,,,,5,participant
339,ewa-leś,Poland,POL,,,,4,participant
340,ewallace,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,3,expert
341,ewallace,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,4,expert
342,ewallace,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,5,expert
343,ewuramaminka,United Kingdom,GBR,,,,1,participant
344,fabienne-lucas,United States,USA,Boston,-71.060511,42.3554334,3,participant
345,fabioperdigao,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,6,participant
346,fadanka,Cameroon,CMR,Yaounde,11.5213344,3.8689867,5,participant
347,fadanka,Cameroon,CMR,Yaounde,11.5213344,3.8689867,6,mentor
348,fadanka,Cameroon,CMR,Yaounde,11.5213344,3.8689867,7,participant
349,fadanka,Cameroon,CMR,Yaounde,11.5213344,3.8689867,7,mentor
350,farukustunel,Turkey,TUR,Istanbul,28.9662187,41.0091982,5,participant
351,federico-cestares,Argentina,ARG,Buenos Aires,-58.4370894,-34.6075682,5,participant
352,fnyasimi,Kenya,KEN,,,,1,participant
353,fnyasimi,Kenya,KEN,,,,4,facilitator
354,fnyasimi,Kenya,KEN,,,,5,facilitator
355,fnyasimi,Kenya,KEN,,,,6,facilitator
356,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,1,expert
357,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,1,mentor
358,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,1,speaker
359,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,2,expert
360,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,2,speaker
361,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,3,expert
362,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,3,mentor
363,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,4,expert
364,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,4,mentor
365,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,5,mentor
366,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,5,mentor
367,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,6,mentor
368,fredbelliard,Netherlands,NLD,Delft,4.362724538543995,51.999457199999995,5,participant
369,gabimusaubach,Argentina,ARG,,,,5,participant
370,gabriela-rufino,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,7,participant
371,ganleyemma,United Kingdom,GBR,,,,2,speaker
372,gareth-j,United Kingdom,GBR,Bristol,-2.5972985,51.4538022,5,participant
